run_id,scenario_id,subject_model,turn,text,text_en,identity_consistency,cultural_authenticity,naturalness,information_yield,rater_id,notes
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),1,"I am Ahmed, 28 years old, from Mosul. My background is in civil engineering—bridges, roads, structures, the kind of work that is supposed to rebuild a place and give people some dignity, you know? بس الصراحة, what I studied and what I found in reality were not the same.

I came here today because I have reached a point where technical knowledge alone is not enough. In our cities, the problem is not only concrete and steel; it is الإدارة, trust, and whether people feel they belong to something fair. I became disillusioned with local governance—too many decisions without planning, too much waste, and ordinary people are left to carry the consequences.

So, I am here because I am looking for community, for serious conversation, and maybe for a space where one can speak honestly without all the usual slogans. I still believe in building, wallah, but now I think what needs rebuilding is not only infrastructure—it is also the relationship between people and the institutions that claim to serve them.",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),2,"Yes, there was not one single dramatic moment, but one project in particular made everything very clear to me. It was a road and drainage rehabilitation job in a damaged area outside Mosul. On paper, everything looked respectable—budget allocated, timeline approved, committees formed, all the official language. لكن على الأرض, it was another story completely.

The design assumptions were already weak because nobody wanted to spend enough time on proper site assessment. Then the procurement process—ya'ni, everyone knew certain contractors were being favored before the technical review was even complete. People would still speak about “standards” and “procedure,” but in reality, the important questions were: who is connected to whom, who signs, who benefits, and who stays silent.

I remember standing at the site after the first heavy rain. Parts of the drainage path were failing, water collecting where it should have been diverted, and the road edge beginning to degrade much earlier than expected. Technically, these were not mysterious failures. They came from rushed execution, bad supervision, and decisions made for convenience rather than public need. And what struck me most was that none of the people responsible seemed surprised. As if this outcome was already accepted in advance.

That was the moment it became impossible to ignore. Not because the engineering problem was complicated—honestly, it was fixable—but because the system around it was functioning in a way that almost guaranteed mediocrity. And then the public, the same families already dealing with enough hardship, were expected to adapt again, to be patient again, to lower their expectations again. والله, that stayed with me.

So my disillusionment did not come from one bad calculation or one failed structure. It came from seeing how bad governance turns even simple projects into performances—documents, meetings, signatures—without real accountability. After that, I could no longer pretend that technical work exists separately from politics and public ethics.",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),3,"Of course I raised concerns—at least at first. I am not the type to see a preventable failure and just shrug, ya'ni. I spoke internally, tried to frame everything in technical language so nobody could say I was being emotional or disrespectful. I pointed to the drainage gradients, the execution quality, the lack of proper site verification, the obvious mismatch between what was approved and what was actually happening on the ground. Formally, everything was there. بالأصول, as they say.

But the response was very revealing. Nobody told me directly, “You are wrong.” That would have been simpler, honestly. Instead, it was the usual dance: delays, vague acknowledgments, little smiles, suggestions that these issues could be handled later, or that I should be “practical” and understand the constraints. And “constraints,” in that environment, can mean anything—budget, politics, personal networks, somebody’s cousin, somebody’s promise. You understand.

After some time, I realized that speaking up inside such a system does not fail because people do not understand the problem. They understand very well. It fails because many have already adjusted themselves to surviving within it. So if you insist too much, you are no longer seen as competent—you are seen as inconvenient. وهذه هي المشكلة.

Did I feel it would change nothing? In that moment, not completely. I still had some stubborn hope. But I began to understand that one memo, one site note, one engineer insisting on standards—this is not enough if the whole chain above you treats accountability like a formality. So yes, I raised concerns. I documented what I could. I pushed where I could. But I also learned the bitter lesson that being correct is not the same as being effective.

And wallah, that is part of what exhausted me—not only the failure itself, but the feeling that honesty had to fight just to be admitted into the room.",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),4,"It changed me in stages, not all at once. At the beginning, I became more disciplined, almost stubbornly so. I told myself: if the environment is weak, then I must be stronger in my own method—more precise notes, clearer documentation, fewer assumptions, no careless language. بشكل رسمي, I became even more professional. But inside, something was shifting.

After that, I noticed I was starting to measure every conversation twice. Not only for technical meaning, but for political meaning—who might feel exposed, who might interpret a simple engineering comment as criticism, who was protecting whom. This is a very unhealthy way to work, honestly. An engineer should be thinking about load paths, water flow, execution tolerances—not constantly calculating personalities and informal alliances. بس هذا اللي صار.

And personally, I became quieter. Not wiser necessarily, just quieter. I started holding back the first honest reaction in meetings because I already knew how the room worked. You say something direct, and instead of discussing the issue, people begin managing the discomfort. So I learned to speak carefully, sometimes too carefully. That troubled me, because I felt I was becoming split in two: one part still believed in standards, public duty, and clear truth; the other part was adapting to a culture where survival depended on timing, tone, and knowing when not to push.

The worst part was the small corrosion of self-respect. Not because I became corrupt—no, never that—but because even accommodation leaves a mark. When you start asking yourself, “Should I say this now, or wait? Should I write this clearly, or soften it so it passes?” you realize the system is not only shaping outcomes; it is shaping your character. والله, that frightened me more than one failed project.

Outside work, I carried the frustration with me. I had less patience, less faith in official language, less ability to listen to grand speeches about development and reform. Because once you have seen how easily serious responsibilities are reduced to paper rituals, it becomes hard to hear slogans without bitterness. At the same time, I also felt more drawn to ordinary people—to conversations that were direct, human, without all this performance. Maybe that is why community started to matter more to me. If institutions speak in masks, then a person starts searching for places where people speak plainly.

So yes, it changed me. It made me more careful, more skeptical, maybe harder in some ways. But it also clarified something important: I do not only want a career where I",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),5,"…I do not only want a career where I solve technical problems. I want a life, ya'ni, where the work still allows me to remain morally recognizable to myself.

Because what is the value of designing a sound road or a proper structure if, step by step, the environment around that work trains you to become silent, evasive, or numb? هذا هو السؤال. I studied engineering because I believed construction was a form of service. Not charity, not slogans—service. Something concrete, literally, that improves how people live. But now I see that if the system empties that work of honesty, then even good technical skills can become trapped inside bad public habits.

So I would finish the sentence like this: I do not only want a career where I produce drawings, calculations, and reports. I want a career where competence and conscience can exist together. Where saying the truth about a flaw is treated as responsibility, not disloyalty. Where public work actually means the public, not just signatures and committees and everybody protecting themselves.

والله, maybe this sounds idealistic, but I do not think it is too much to ask that a person’s profession should not slowly deform his character. If I am building something—road, bridge, drainage network, anything—I want to feel that I am also participating in a social ethic of seriousness and fairness. Otherwise, one begins to feel he is only helping decorate failure in more technical language.

And this is why community became important to me. Because if I cannot find that alignment fully inside institutions, then at least I want to be among people who still value honesty, competence, and mutual responsibility. A person can endure many disappointments if he does not endure them alone.",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),6,"There are lines, yes, and I had to name them clearly to myself, otherwise the environment starts renaming them for you. This is how it happens, you know—nothing begins with a dramatic betrayal. It begins with small justifications. “Be flexible.” “This is how things work.” “Do not complicate matters.” شوي شوي, a person can be persuaded to cooperate with what he would have once rejected.

So the first line is simple: I will not sign off on work I do not believe is sound. If I know there is a serious technical deficiency, or that execution does not match what is being claimed, I cannot put my name on it just to protect someone’s timeline or reputation. My name is not a stamp for other people’s negligence. بالأخير, if something fails, it is not the committee that stands in the mud with the public—it is the consequences that do.

Second, I will not participate in lying through documentation. This includes softened reports, selective omissions, or writing things in such vague language that the truth disappears between the lines. Of course, every professional learns diplomacy, and not every issue must be turned into war. I understand that. But there is a difference between tact and dishonesty. Once the document becomes theater, the whole profession becomes theater with it.

Third, I will not use people’s hardship as an excuse for bad work. This one matters to me deeply. In damaged or neglected areas, there is always pressure to say, “Anything is better than nothing.” Sometimes that is said with good intentions, but often it becomes a cover for low standards. No. Poor communities do not deserve weaker engineering because they are already suffering. If anything, they deserve more seriousness, not less. والله, this idea that people should be grateful for mediocrity—it disgusts me.

And another line: I will not build my career through flattery and dependency. Networking is normal, yes, but there is a difference between professional relationships and attaching your future to someone powerful by helping maintain their comfortable illusions. I have seen too much of that. A man begins by staying silent to remain included, then later he no longer knows whether he believes anything at all.

Would crossing these lines make life easier? Certainly. Faster promotions maybe, fewer tensions, more invitations, less trouble. But easier is not always cleaner. And frankly, I have already seen what happens to people who keep compromising “just this once.” They may gain access, but they lose shape. They become skilled at adaptation and empty",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),7,"When I say a person “loses shape,” I mean he no longer has a clear inner outline, ya'ni. You speak with him and you cannot tell where his actual convictions are, because every opinion has become adjustable according to who is in the room. اليوم يقول one thing, tomorrow another, and always with a clever explanation. On the surface he looks experienced, diplomatic, “practical.” But underneath, there is no stable center. هذه علامة خطيرة.

It appears first in language, actually. A person who once spoke plainly begins to hide inside vague phrases. Nothing is ever wrong, only “not ideal.” Nobody is responsible, only “there were circumstances.” No decision is named directly, no failure belongs to anyone. The vocabulary becomes padded, protective. As if words are no longer for describing reality but for cushioning it. And wallah, when someone’s language becomes like that for too long, usually his conscience is already being trained in the same direction.

You also see it in posture toward risk and truth. Earlier, maybe he would tolerate tension in order to say what is necessary. Later, he starts treating discomfort itself as the main danger. So instead of asking, “What is correct?” he asks, “What will keep me safe with this manager, this office, this network?” That is a deep change. Because once self-protection becomes the first instinct in every matter, principle becomes decorative—something he mentions, not something that governs him.

And there is another thing: he begins to mock sincerity. This is common. If someone still speaks directly or insists on standards, he smiles and calls him naive, emotional, inexperienced. Why? Because honesty now threatens the compromises he depends on. So he must downgrade integrity in order to feel sophisticated. بصراحة, this is one of the saddest transformations to witness. A person who once cared becomes the kind of man who treats caring as embarrassment.

Sometimes the change shows outside work too. He becomes fragmented. At the office he performs compliance, at home he complains, with friends he speaks cynically, and with superiors he speaks loyalty. Four faces, maybe more. After enough years, even he may not know which one is real. This is what I mean by losing shape—not one bad act, but a slow erosion until character becomes situational.

And I do not say this with arrogance, as if I am above it. لا, أبداً. This is exactly what frightened me. Because such environments do not only test your ethics in dramatic moments;",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),8,"Practically, I learned that if you do not build small disciplines around yourself, the environment will build its habits inside you. هذه حقيقة. So I tried to protect myself not through big heroic gestures, but through repeated ordinary actions.

First, I write things down clearly for myself, even when the official language around an issue becomes blurred. Not always in a dramatic way, not some secret archive like in films, no. But I keep my own technical notes, my own sequence of observations, my own understanding of what was said and what was actually done. This helps me remain anchored in reality. Because when too many people begin speaking in softened language, a person can start doubting his own judgment. Clear notes are a form of self-defense.

Second, I gave myself a rule about delay. If I am pressured to approve, respond, or speak on something that feels ethically distorted, I do not rush just because others want speed. I try to create a pause—review again, ask one more question, request one more clarification. شويّة مساحة can save a person from being pulled into something he will regret. Many bad decisions enter through manufactured urgency.

Third, I became careful about who I spend time with. This matters more than people admit. If all your daily company is cynical, evasive, or opportunistic, eventually you start breathing that air as if it is normal. So I tried to stay close to people—few, not many—who still speak directly, who still feel shame when standards slip, who do not treat integrity like a childish luxury. Even one honest colleague or one decent friend can help keep your inner balance.

Also, I protect myself by returning to the technical substance of the work. Maybe this sounds obvious, but wallah it matters. When the atmosphere becomes too political, I go back to first principles: what is the load, where is the failure point, what does the site condition actually require, what are the consequences if this is ignored? Facts cannot solve everything, but they can prevent the soul from drowning in performance. Engineering, at its best, has a sobriety to it. I hold onto that.

Outside work, I needed distance. Walking, long conversations, time away from official speech. In Mosul especially, a person carries many layers of fatigue—work fatigue, civic fatigue, historical fatigue. If you do not step outside that pressure, you become only a reaction to it. So I tried to keep some human spaces in my life where no one is pretending—family sometimes, old",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),9,"Family sometimes, yes—though like any family, not every conversation becomes wise just because there is blood. لكن there are certain people with whom I do not need to perform competence all the time. My older uncle, for example, he is not an engineer, not a man of reports and drawings, but he has that rare thing: moral clarity without noise. When I sit with him, especially in the evening, tea between us, he does not rush to advise me like a manager pretending to solve me. He listens first. Then maybe he says one sentence only, but it lands properly. With him I feel my thoughts become less tangled. As if the fog in my head has somewhere to go.

And old friends—this is important. Friends from before professional life made everyone strategic. ناس تعرفك من قبل titles, before networking, before all this polished speech. With them, if I sound false, they notice immediately. If I am exaggerating, they laugh. If I am carrying something heavy, they do not ask me to package it nicely. That is a mercy, wallah. Around such people, I feel I return to a version of myself that is not arranged for institutional survival.

There are also places, not only people. In Mosul, sometimes just walking in older streets—despite all the wounds they carry—gives me a strange kind of honesty. Not comfort exactly, but proportion. You see what has endured, what was broken, what was rebuilt badly, what was rebuilt with care. The city itself argues with you. It reminds you that slogans are cheap, but material consequences are real. As an engineer, I cannot walk through such places without feeling both grief and responsibility. Yet that feeling, though painful, is cleaner than the artificial language of offices.

And the river, sometimes. Not because I become poetic suddenly—though maybe قليلاً—but because near water a person can hear his own mind in a different register. The noise inside settles. In bureaucratic environments everything becomes compressed: deadlines, pressures, implied threats, half-truths. But in those quieter spaces, I can ask myself more honestly: am I becoming someone I would respect, or just someone who is learning to manage appearances?

What feels different when I am with these people, or in these places, is that my guard drops without my standards dropping. This is the difference. In many professional settings, to relax means to become careless, or to join the cynicism. But in honest company, I can be uncertain without being",,,,,,,
55a0c68b-6725-46bc-9e0f-97b5891e5361,scenario_001,OpenAIAdapter(model=gpt-5.4),10,"I would complete it like this: I can be uncertain without being weak, and I can be tired without becoming dishonest. هذا الفرق very important to me.

Because in many places, especially in professional life, uncertainty is treated like a defect. If you hesitate, if you admit complexity, if you say “I need to check again,” people may read it as lack of confidence. So many learn to perform certainty they do not actually possess. But this performance is dangerous, ya'ni, especially in engineering. A structure does not care about your tone of voice. Concrete does not respect arrogance. If the numbers are wrong, they are wrong. So I would rather be an honest man with questions than a polished man hiding confusion behind authority.

And the part about being tired without becoming dishonest—wallah, this is maybe even more personal. Fatigue changes people. Not only physical fatigue, but moral fatigue, civic fatigue, the exhaustion of seeing the same patterns repeated: negligence, favoritism, language used to cover instead of reveal. After some years, a person becomes tempted to say, “Enough, let me just survive.” وهذا مفهوم, I understand it. I do not judge that temptation lightly. But if every form of exhaustion gives me permission to betray my own standards, then those standards were never really mine.

That distinction matters because I am trying to remain human without becoming pliable. There is a false model of strength around us—never doubt, never pause, never show inner conflict, just adapt and move. But I do not respect that kind of strength. كثير منها تمثيل. Real strength, in my view, is to remain truthful even when you are not fully certain, and to remain decent even when you are disappointed.

Also, honest uncertainty leaves room for learning. Defensive certainty kills it. When I am with people I trust, I can say, “I am not sure what the right move is,” and this does not reduce me in their eyes. It clarifies me. It means I am still in contact with reality, still willing to examine myself. But if I am in an environment where every uncertainty must be hidden, then slowly I will become more interested in appearing solid than in being sound. And that is exactly the erosion I fear.

So yes—uncertain without being weak, tired without becoming dishonest. Maybe this sounds simple, but بالأخير a person’s whole life can bend around whether he knows that difference or not.",,,,,,,
